date,region,country,product_category,product_name,sales_channel,customer_segment,revenue,units_sold,new_customers,discount_rate,gross_margin,order_count,marketing_spend,conversion_rate,campaign_flag,is_promo_period
2024-01-01,North America,United States,Automation Tools,CRM Workflow Pack,Direct,Enterprise,20161.79,45,5,0.0611,0.5581,32,3281.58,0.0619,false,false
2024-01-01,North America,United States,Analytics Platform,Forecast Studio,Partner,Enterprise,12548.86,7,1,0.0924,0.5960,5,2515.16,0.0497,false,false
2024-01-01,North America,United States,Enterprise Suite,Revenue Intelligence Pro,Marketplace,Enterprise,7724.41,1,0,0.0993,0.6335,1,1449.50,0.0514,false,false
2024-01-01,EMEA,France,Analytics Platform,Forecast Studio,Direct,Mid-Market,12709.30,9,2,0.0535,0.5999,8,2546.09,0.0528,false,false
2024-01-01,EMEA,United Arab Emirates,Analytics Platform,Forecast Studio,Partner,Enterprise,7903.64,5,1,0.0894,0.5599,4,1791.14,0.0410,false,false
2024-01-01,EMEA,France,Analytics Platform,Pipeline Analytics,Marketplace,SMB,6362.31,6,2,0.0985,0.5284,6,1125.45,0.0377,false,false
2024-01-01,APAC,Australia,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,11323.49,2,0,0.0539,0.6315,1,2627.08,0.0632,false,false
2024-01-01,APAC,Australia,Analytics Platform,Pipeline Analytics,Partner,Enterprise,6002.97,3,0,0.0756,0.5205,2,1622.72,0.0435,false,false
2024-01-01,APAC,Australia,Analytics Platform,Forecast Studio,Marketplace,SMB,4773.52,4,2,0.1094,0.4816,4,1166.73,0.0409,false,false
2024-01-01,LATAM,Chile,Enterprise Suite,Insight Enterprise Cloud,Direct,SMB,6095.55,2,1,0.0600,0.6849,2,1538.36,0.0484,false,false
2024-01-01,LATAM,Mexico,Analytics Platform,Pipeline Analytics,Partner,Enterprise,4383.61,3,0,0.0857,0.5337,2,782.85,0.0404,false,false
2024-01-01,LATAM,Mexico,Enterprise Suite,Insight Enterprise Cloud,Marketplace,SMB,2005.59,1,0,0.1047,0.5994,1,655.48,0.0310,false,false
2024-01-02,North America,Canada,Services,Implementation Services,Direct,Enterprise,18940.56,6,1,0.0609,0.5042,4,3502.64,0.0680,false,false
2024-01-02,North America,United States,Analytics Platform,Forecast Studio,Partner,Enterprise,11263.36,6,1,0.0811,0.5753,4,2202.21,0.0476,false,false
2024-01-02,North America,Canada,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,7896.73,1,0,0.0962,0.6376,1,1603.80,0.0503,false,false
2024-01-02,EMEA,United Kingdom,Enterprise Suite,Insight Enterprise Cloud,Direct,Enterprise,14225.13,2,0,0.0579,0.6690,1,2863.38,0.0572,false,false
2024-01-02,EMEA,United Kingdom,Analytics Platform,Forecast Studio,Partner,Enterprise,8124.23,5,1,0.0774,0.5685,4,1567.68,0.0455,false,false
2024-01-02,EMEA,United Arab Emirates,Enterprise Suite,Insight Enterprise Cloud,Marketplace,SMB,6438.53,2,1,0.0970,0.5947,2,1169.44,0.0365,false,false
2024-01-02,APAC,Singapore,Enterprise Suite,Revenue Intelligence Pro,Direct,Enterprise,10778.65,2,0,0.0710,0.6420,1,2721.40,0.0572,false,false
2024-01-02,APAC,Japan,Enterprise Suite,Insight Enterprise Cloud,Partner,Enterprise,6122.78,1,0,0.0910,0.5830,1,1659.45,0.0498,false,false
2024-01-02,APAC,Singapore,Enterprise Suite,Insight Enterprise Cloud,Marketplace,Enterprise,5299.79,1,0,0.1156,0.5628,1,981.35,0.0407,false,false
